What objects that satisfy the following statement : (subject : Acetaldehyde | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Moselle | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mur | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mureș river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Murray river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Niagara river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ohio river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Oise | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Orange river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Orkhon river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Orontes river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Paraná river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pearl river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pilcomayo | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Po | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Posof Çayı | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Potomac river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pregolya | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Prypiat river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Purus river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Red river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Rio Negro | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Rio grande | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : River Shannon | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Rubicon | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Río de la Plata | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saar | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Salzach | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saône | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Senegal river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Snake river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : São francisco river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tagus river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tennessee river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tigris | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ucayali river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Urubamba river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Velikaya | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vilyuy | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vistula | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vltava | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vyatka | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Váh | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Wabash river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Western Bug | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Willamette river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Yalu river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zangmar river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zilupe | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zrmanja | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Çoruh river | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Þjórsá | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Alaska | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Antofagasta Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Appenzell Ausserrhoden | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Appenzell Innerrhoden | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Apulia | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Aragon | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Araucanía Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Arica y Parinacota Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Arkansas | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Asturias | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Atacama Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Baden-Württemberg | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Basel-Landschaft | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Berlin | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : California | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Campania | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Canelones Department | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Cantabria | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Canton Aargau | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Canton of Fribourg | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Canton of Geneva | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Canton of St. Gallen | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Canton of Ticino | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Castile and León | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Castile-La Mancha | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Catalonia | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Colorado | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Coquimbo Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Dakahlia Governorate | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Durazno Department | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Emirate of Dubai | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : England | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Extremadura | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Florida | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Florida Department | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Gelderland | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Georgia | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Gibraltar | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Greater Poland Voivodeship | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Grisons | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Guam | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Hamburg | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Iwate Prefecture | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Kagoshima Prefecture | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Kainuu | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Kansas | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : La Rioja | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Lapland | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Lazio | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Liguria | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Los Ríos Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Louisiana | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Magellan and the Chilean Antarctic Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Maine | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Marche | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Mecklenburg-Western Pomerania | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Mexico city | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Michigan | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Minnesota | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Miyagi Prefecture | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Molise | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Montana | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Møre og Romsdal | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Navarre | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Nevada | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : New York | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Nordland | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Oklahoma | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Oregon | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Ostrobothnia | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Pennsylvania | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Pirkanmaa | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Pécs | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Region of Murcia | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Rogaland | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Saarland | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Saint Petersburg | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Salzburg | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : San Marino | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Satakunta | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Saxony-Anhalt | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Schwyz | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Tarapacá Region | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Tennessee | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Texas | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Thurgau | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Tochigi Prefecture | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Tuscany | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Tyrol | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Umbria | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : United States Virgin Islands | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Uusimaa | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Vaduz | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Veneto | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Vienna | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Vorarlberg | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Wales | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Washington | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Wyoming | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Åland | relation : StateSharesBorderState | objects : ?)
What objects that satisfy the following statement : (subject : Acetone | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Adenosine Diphosphate Ribose | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Aluminium Chlorohydrate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Aluminum Iodide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Aminomethylpropanol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ammonia | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Atracurium Besylate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Azathioprine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Azulene | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Carbonic Acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cetyl Alcohol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Chlorophyll F | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Coumarin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cupric Phosphate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cyclopropane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ecdysone | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ethyl Acetoacetate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Flavin Adenine Dinucleotide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Glucagon | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Glutathione | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Gold Trichloride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Heptadecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Heroin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hexadecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydrazine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydroxocobalamin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hyponitrous Acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Icosane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Imatinib | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Lysergic Acid Diethylamide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Maleic Acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Mercuric Fluoride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Mercurous Fluoride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Metformin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Methacrylic Acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Motilin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Mustard Gas | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Nonadecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Pethidine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Rubidium Hydroxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Sodium Hydroxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Sodium Tripolyphosphate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Sulfuric Acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : TNT | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Tabun | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Tenoxicam | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Triethylamine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Triphenylphosphine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Vinylidene Fluoride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Zeaxanthin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Abadal | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Aixam | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Alex von Falkenhausen Motorenbau | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Alvis Car and Engineering Company Ltd | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Amphicar | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Artés de Arcos | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Aston Martin lagonda | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Austro-Daimler | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Automobilwerk Eisenach | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Bell | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Bertone | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Cadillac | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Central Motors | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Changan Automobile | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Delage | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Duesenberg | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Fábrica Nacional de Motores | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Gaz | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Gucci | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Guerry et Bourguignon | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Hanomag | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Hyundai Motor Company | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Industrieverband Fahrzeugbau | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Industrija Motornih Vozil | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Itala | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Jensen Motors | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Kaipan | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Kia | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Kojima Engineering | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : La Ponette | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Lada Zapad Tolyatti | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Lagonda | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Locomobile Company of America | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Lotus Cars | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : MG Car Company Limited | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Moskvitch | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : NSU | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Nardi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Peugeot | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Saipa | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Scripps-Booth | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Simca | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Società Torinese Automobili Elettrici | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Towarzystwo Budowy Samochodów AS | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Valmet Automotive | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Velorex | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Volkswagen | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Yamaha Motor Company | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zanella Fratelli | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Élan Motorsport Technologies | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Andorra | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Angola | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Australia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bahrain | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Barbados | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belize | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bolivia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bosnia and Herzegovina | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bulgaria | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Central African Republic | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Comoros | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Costa Rica | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cuba | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Djibouti | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dominican Republic | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Eritrea | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Estonia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Gambia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Georgia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Germany | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ghana | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Grenada | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guyana | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ivory Coast | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Japan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kingdom of Denmark | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kingdom of the Netherlands | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Morocco | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mozambique | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Myanmar | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pakistan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Poland | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Portugal | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Rwanda | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Vincent and the Grenadines | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Samoa | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : San Marino | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saudi Arabia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Somalia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Thailand | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Togo | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Turkey | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uganda | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : United kingdom | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uzbekistan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Venezuela | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zimbabwe | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Afghanistan | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Argentina | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Australia | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Austria | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bahamas | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Botswana | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Brunei | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Burkina Faso | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Burundi | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Cameroon | relation : CountryOfficialLanguage | objects : ?)
