What objects that satisfy the following statement : (subject : Transcend Information | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Leonid Polezhayev | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Miquel Roca | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tadeusz Wijaszka | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bolesław Zoń | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Hans W. Geißendörfer | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Sara Nazarbayeva | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Zita Furková | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Salvatore Accardo | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Vasil Tatsiy | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Narendra Kohli | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Marian Szeja | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Nursultan Nazarbayev | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Stanley Johnson | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Chick Corea | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Hans-Georg Reimann | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ileana Mălăncioiu | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Faisal Husseini | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Pärnu River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jihlava | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Õhne River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chishui River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Berezina River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Juruena River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Araguaia River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Simojoki | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kızılırmak River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Seym | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Willamette River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jökulsá á Fjöllum | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Fulda | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Gan River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Yellowstone River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tskhenistsqali | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tigris | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Columbia River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Paraíba do Sul River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chari River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Colorado River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Potomac River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vistula | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Terek | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bolgarchay River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ialomița River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Scarpe | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Arkansas River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chenab River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ross River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Han River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Blue Nile | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zilupe | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ludza | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tartar | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Torne River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Rhine | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Juruá River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cetina | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sinaloa River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Oder | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Paraguay River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iguazu River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Branco River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Poprad | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Xaçınçay | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Akhurian River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Red River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Limpopo River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nizhnyaya Tunguska | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ticino | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tisza | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mara River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pearl River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Karasu | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mūša | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Arghandab River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kostroma | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Po | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Paraná River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ubort | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Aksay Yesaulovskiy | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lech | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Madeira River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belize River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saône | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Murray River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iori River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Donskaya Tsaritsa | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : São Francisco River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Anuy | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Molochna River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ket | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Grijalva River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ottawa River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kukhva | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kok River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nemunėlis | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Volga | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Segura | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ilek | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ussuri | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vilyuy | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lualaba River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Salzach | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Orne | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Argeș River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tirza River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Inn | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lonja | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sudost | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pronia | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Elbe | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Irtysh | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dnieper | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Enguri River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Verde River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Toccoa River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ili River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : The Secret Life of Marilyn Monroe | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Cosmos: Possible Worlds | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Kath & Kim | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Lewis & Clark: The Journey of the Corps of Discovery | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : De Gasperi, a man of hope | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : La Cittadella | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Enfield Haunting | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Sans rendez-vous | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Prohibition | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Other Sport | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Saint John Bosco: Mission to Love | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Vietnam in HD | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Instinto | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Last Wave | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Fantaghirò pentalogy | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Houdini | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Mantis | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Red Tent | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : File d'attente | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Jazz | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Switched | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : El nudo | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Secret Seven | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Our Planet | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Norskov | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Euskalduna naiz, eta zu? | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Mockingbird Lane | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Charlemagne, le prince à cheval | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Growroom | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Luminaries | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Rašín | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Trapped | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Harmon | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Treasure Island | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Tehran | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The U.S. and the Holocaust | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Lines of Wellington | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : False Flag | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ordeal by Innocence | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bag of Bones | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Les Chamois | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : White Nights 3.98 | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Two Weeks to Live | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Kathmandu | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Devs | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : She Has It | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Vzteklina | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Sense and Sensibility | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Inspektor Max | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Beatles: Get Back | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Putin Interviews | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : I Kissed a Vampire | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Romper Stomper | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Chernobyl: Zone of Exclusion | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Queen's Gambit | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Blackadder the Third | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Musketeers | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Gilmore Girls: A Year in the Life | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : War and Peace | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Mafia Kills Only in Summer | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Le avventure di Pinocchio | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Line of Beauty | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : A Very English Scandal | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Empire under Attack | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Crimes of Passion | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Redfern Now | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : 1983 | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Luna Nera | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : L'Aquila - Grandi speranze | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Call DiCaprio! | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Strike | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Mother Teresa of Calcutta | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Generation Kill | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Webventures of Justin and Alden | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Bible | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Beautiful to Die For | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Veneno | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Perry Mason | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Holy Family | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Yellow Peppers | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Cacciatore: The Hunter | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Security Men | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Florbela | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Civil War | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Garth Marenghi's Darkplace | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Odznak Vysočina | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Union of Salvation: Time of Wrath | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Angels in America | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Funny or Die Presents | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Comey Rule | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Teenage Mom: The Series | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : A Discovery of Witches | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Adventures of Sherlock Holmes and Dr. Watson | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : A Korean Odyssey | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Man in an Orange Shirt | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : TV Nation | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : El Caso: Crónica de sucesos | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Hatfields & McCoys | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : False Witness | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : If Only | relation : SeriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Khyber Pakhtunkhwa | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Gyeonggi | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Harare Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Sagaing Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Kirundo Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Madaba Governorate | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Navoiy Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Northern Samar | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Santa Luċija | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Central Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Xaisomboun Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Dhale Governorate | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Petén Department | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Guárico | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Castile and León | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Upper Austria | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Zeeland | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : South Hamgyong Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Alexandria Governorate | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Stara Zagora Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Nuristan | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Rio de Janeiro | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Ucayali | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Sofia Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Kunene Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : New Mexico | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Los Ríos Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Al Daayen | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Municipality of Poljčane | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Tacuarembó Department | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Toliara Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Batna Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Irbid Governorate | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Davao Oriental | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Bejaia Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Agder | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Western Bahr el Ghazal | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : El Meniaa Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Rhode Island | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Municipality of Sveti Andraž v Slovenskih Goricah | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Shan State | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Nakhon Phanom | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Sucumbíos Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Maguindanao | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Najran Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Warrap | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Blagoevgrad Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Manzini Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Maranhão | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Northwestern Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Nueva Ecija | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Djanet Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Timimoun Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Capital Governorate | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Nagano Prefecture | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Kgatleng District | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Flevoland | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Harari Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Addu Atoll | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Mamou Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Oro Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Bukhara Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Apure | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Dobele Municipality | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Čučer-Sandevo Municipality | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Ohangwena Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Shida Kartli | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Ad Dawhah | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Qalyubia Governorate | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Batanes | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Phongsaly Province | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Larnaca District | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Damascus Eyalet | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Hesse | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Ashanti Region | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Kabul | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Saint Pierre and Miquelon | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Kyrenia District | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Jura | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Yaren District | relation : StateBordersState | objects : ?)
What objects that satisfy the following statement : (subject : Aragon | relation : StateBordersState | objects : ?)
